Cluster	organ	organ_code	cluster_id	compartment	L1_annot	L2_annot	L3_annot	dend_order	ncell	median_numi	median_ngene	median_nfrags	median_tss	median_frip	note	organ_color	compartment_color	Cluster_ChromBPNet
MU_4	Muscle	MU	4	str	MU_4_fibroblasts	Muscle fibroblasts	fibroblasts	193	6093	1575	1149	3530	9.157	0.338099428	FBN1+	#89C75F	#3969AC	Muscle_c4
LI_9	Liver	LI	9	str	LI_9_stellate	Liver stellate	stellate	194	2239	1769	1368	7426	12.453	0.461588106	stellate cells (lipocytes that become myofibroblast-like when liver is injured); high COL3A1 DCN COL6A3	#3b46a3	#3969AC	Liver_c9
HT_9	Heart	HT	9	str	HT_9_pericyte	Heart pericyte	pericytes	195	3684	2350	1526	4504	11.8595	0.512728744	PDGFRB RGS5 NOTCH3 marker	#D51F26	#3969AC	Heart_c9
MU_14	Muscle	MU	14	str	MU_14_pericytes 1	Muscle pericytes	pericytes	196	1887	1961	1403	4554	8.558	0.314293675	RGS5/KCNJ8	#89C75F	#3969AC	Muscle_c14
SK_6	Skin	SK	6	str	SK_6_pericyte	Skin pericyte	pericytes	197	3366	1694.5	1294	9537.5	9.051	0.287889208	TRPC6+, ACTA2+, PDGFRB+	#ad0773	#3969AC	Skin_c6
ST_12	StomachEsophagus	ST	12	str	ST_12_pericytes	StomachEsophagus pericytes	pericytes	198	2550	2157.5	1496.5	5742	6.614	0.298226547	TRPC6+ PDGFRB+ RGS5+	#208A42	#3969AC	Stomach_c12
HT_3	Heart	HT	3	str	HT_3_fibroblast 1	Heart fibroblast	fibroblasts	199	10121	2293	1507	4224	11.221	0.479264844	DCN COL1A2 COL1A1 marker	#D51F26	#3969AC	Heart_c3
HT_10	Heart	HT	10	str	HT_10_fibroblast 3	Heart fibroblast	fibroblasts	200	2550	5004.5	2657	9394	10.762	0.460497454	DCN COL1A2 COL1A1 marker	#D51F26	#3969AC	Heart_c10
TM_13	Thymus	TM	13	str	TM_13_fibroblasts 2	Thymus fibroblasts	fibroblasts	201	380	2547.5	1779	11344	9.3675	0.322282298	COL1A2/COl3A1/DCN+	#6E4B9E	#3969AC	Thymus_c13
SK_1	Skin	SK	1	str	SK_1_fibroblast 2	Skin fibroblast	fibroblasts	202	6716	997	802	5082	9.0645	0.281414451	LRRTM4+, COL6A6+, ABCA10+	#ad0773	#3969AC	Skin_c1
SK_5	Skin	SK	5	str	SK_5_fibroblast 4	Skin fibroblast	fibroblasts	203	4846	2110	1549	11837.5	8.7125	0.268483123	LRRTM4+, COL6A6+, ABCA10+	#ad0773	#3969AC	Skin_c5
